Geoname ID;Name;ASCII Name;Alternate Names;Feature Class;Feature Code;Country Code;Country name EN;Country Code 2;Admin1 Code;Admin2 Code;Admin3 Code;Admin4 Code;Population;Elevation;DIgital Elevation Model;Timezone;Modification date;LABEL EN;Coordinates
703713;Kulykivka;Kulykivka;Koulikivka,Koulykivka,Kulikivka,Kulikovka,Kulikowka,Kulivkivka,Kulykiuka,Kulykivka,Kulykiwka,Kulıkivka,Kułykiwka,ku li ji fu ka,Κουλικίβκα,Куликовка,Куликівка,Кулыкіўка,庫利基夫卡;P;PPL;UA;Ukraine;;02;7410;;;4928;;119;Europe/Kyiv;2023-05-02;Ukraine;51.37345, 31.64661
704201;Krasnyi Mak;Krasnyi Mak;Bijuk-Karalez,Krasnij Mak,Krasnyi Mak,Krasnyj Mak,Бию́к-Карале́з,Красний Мак,Красный Мак;P;PPLA3;UA;Ukraine;;11;0102;11152814;;1663;120;117;Europe/Simferopol;2022-10-27;Ukraine;44.64218, 33.7813
704388;Krasnohrad;Krasnohrad;Konstantinograd,Krasnograd,Krasnohrad,Krasnohradas,ke la si nuo he la de,khrasnwhrad,Красноград,Կրասնոգրադ,خراسنوهراد,კრასნოგრადი,克拉斯諾赫拉德;P;PPLA2;UA;Ukraine;;07;6306;;;21426;;169;Europe/Kyiv;2022-10-27;Ukraine;49.37511, 35.45493
704414;Krasnoarmeyskoye;Krasnoarmeyskoye;Ashkhadan,Krasnoarmejskoe,Krasnoarmeyskoye,Krasnoarmijs'ke,Murza-Kojash,Ашхада́н,Красноармейское,Красноармійське,Мурза́-Коя́ш;P;PPLA3;UA;Ukraine;;11;0114;11152951;;765;5;3;Europe/Simferopol;2022-10-27;Ukraine;45.99103, 34.03037
705883;Kiliya;Kiliya;Chilia-Noua,Chilia-Nouă,Kili,Kilia,Kiliia,Kilija,Kiliïa,ji li ya,kylya  awkrayn,kʼilia,qylyh,Килия,Кілія,Կիլիա,קיליה,کیلیا، اوکراین,კილია,基利亞;P;PPLA2;UA;Ukraine;;17;5108;;;19540;4;7;Europe/Kyiv;2022-10-27;Ukraine;45.44445, 29.26396
707281;Kacha;Kacha;Kacha,Kaco,Kacza,Kascsa,Katcha,Katsja,Kaĉo,Qaci,Qaçı,ka qia,Кача,Կաչա,卡恰;P;PPLA3;UA;Ukraine;;20;700468;11153383;;4282;26;28;Europe/Simferopol;2016-05-23;Ukraine;44.77635, 33.54387
707296;Iziaslav;Iziaslav;Iziaslav,Izjaslav,Zaslav,Zaslavl',Zaslaw,Zasław,Zheslav,Ізяслав,Жеслав,Заслав,Заславль,Изяслав;P;PPLA2;UA;Ukraine;;09;6806;;;16162;226;229;Europe/Kyiv;2023-01-23;Ukraine;50.11978, 26.82475
707305;Izobil’noye;Izobil'noye;Izobil'ne,Izobil'noe,Izobil'noye,Izobil’noye,Korbek,Ізобільне,Изобильное,Корбе́к;P;PPL;UA;Ukraine;;11;0120;;;2333;218;228;Europe/Simferopol;2022-10-27;Ukraine;44.70276, 34.35357
707753;Horlivka;Horlivka;Gorlauka,Gorlivka,Gorlovk,Gorlovka,Gorlovko,Gorlowka,Gorłówka,Górlovka,Horlivka,Horliwka,Horļivka,Hòrlivka,Qorlivka,ge er luo fu ka,gorlovkʼa,holeulliuka,hwrlybqh,hwrlyfka,Горлаўка,Горловк,Горловка,Горловко,Горлівка,Һорливка,Գորլովկա,הורליבקה,هورليفكا,هورلیفکا,გორლოვკა,戈爾洛夫卡,호를리우카;P;PPLA2;UA;Ukraine;;05;1406;;;239828;;282;Europe/Kyiv;2023-01-22;Ukraine;48.33576, 38.05325
707860;Gurzuf;Gurzuf;Gurzuf,Гурзуф;P;PPL;UA;Ukraine;;11;0120;;;8933;62;81;Europe/Simferopol;2022-10-27;Ukraine;44.54624, 34.27841
708324;Horodnytsia;Horodnytsia;Chorontnitsia,Garadnycja,Gorodnica,Gorodnicja,Gorodnitsa,Gorodnıtsâ,Horodnica,Horodnitea,Horodnycja,Horodnytsia,Horodnytsya,Horodnyzja,Horodnîțea,huo luo de ni cha,hwrwdnytsya,Χοροντνίτσια,Гарадныця,Городница,Городниця,Գորոդնիցա,هورودنيتسيا,霍罗德尼察;P;PPL;UA;Ukraine;;27;1808;;;5238;;196;Europe/Kyiv;2022-10-27;Ukraine;50.80697, 27.31676
708657;Hodynivka;Hodynivka;Godinesti,Godinești,Godinivka,Godynovka,Hodynivka,Годинівка,Годыновка;P;PPL;UA;Ukraine;;03;7306;;;1261;176;170;Europe/Kyiv;2022-10-27;Ukraine;48.18333, 26.13333
708878;Henichesk;Henichesk;Dzheniche,Eniche,Genich,Geniches'k,Genichesk,Henitchesk,Hénitchesk,Геническ,Геніч,Генічеськ,Дженіче,Еніче;P;PPLA2;UA;Ukraine;;08;6504;;;19501;16;17;Europe/Kyiv;2022-10-27;Ukraine;46.16824, 34.80861
709690;Doroshivtsi;Doroshivtsi;Dorochivtsi,Dorosauti,Doroshivci,Doroshivtsi,Doroshovcy,Doroshovtsy,Дорошовцы,Дорошівці;P;PPL;UA;Ukraine;;03;7306;;;1534;150;149;Europe/Kyiv;2022-10-27;Ukraine;48.59023, 25.88633
709869;Dobroye;Dobroye;Dobre,Dobroe,Dobroye,Mamut Sultan,Mamut-Sultan,Добрoе,Добре,Маму́т-Султа́н;P;PPLA3;UA;Ukraine;;11;0116;11152587;;2976;355;389;Europe/Simferopol;2022-10-27;Ukraine;44.86632, 34.22661
710039;Dykhtynets;Dykhtynets;Dihtinet,Dihtineț,Dikhtenets,Dikhtinec,Dikhtinec',Dykhtynets,Дихтинец,Дихтинець;P;PPL;UA;Ukraine;;03;7302;;;1003;537;538;Europe/Kyiv;2022-10-27;Ukraine;48.05913, 25.04375
710418;Krasnoye;Krasnoye;Chalgary,Krasne,Krasnoe,Krasnoye,Красне,Красное,Чалгары́;P;PPL;UA;Ukraine;;11;0116;11152616;;1034;134;134;Europe/Simferopol;2022-10-27;Ukraine;45.13999, 34.09452
710668;Chornukhyne;Chornukhyne;Cernuhine,Cernuhîne,Chernukhino,Chornujine,Chornukhine,Chornukhyne,Chornújine,Cornuhine,Czornuchyne,Tjornukhyne,Tschornuchyne,Tsjornukhine,Tsornouchine,Tsornuhhone,Tšornuhhõne,chorunukuhine,qiao er nu xi nei,Çornuhıne,Čornuhine,Τσορνούχινε,Чернухино,Чорнухине,チョルヌクヒネ,乔尔努希内;P;PPL;UA;Ukraine;;14;4402;;;5703;;311;Europe/Kyiv;2022-12-13;Ukraine;48.32339, 38.52272
710684;Chernopolye;Chernopolye;Chernopol'e,Chernopolye,Chornopillja,Karachjol',Карачё́ль,Чернополье,Чорнопілля;P;PPLA3;UA;Ukraine;;11;0104;11152843;;1251;228;227;Europe/Simferopol;2022-10-27;Ukraine;45.04399, 34.63916
710958;Chahor;Chahor;Ceahor,Chagor,Tchahor,Чагор;P;PPLX;UA;Ukraine;;03;7306;;;8564;186;215;Europe/Kyiv;2022-10-27;Ukraine;48.2433, 25.99392
711752;Bilshivtsi;Bilshivtsi;Bel'shovcy,Bil'shivci,Bil'shyucy,Bil'sivci,Bil'šivci,Bilchivtsi,Bilschiwzi,Bilshivtsi,Bilsivci,Bilsivti,Bilsivtsi,Bilşivtsi,Bilšivci,Bilșivți,Bol'shovcy,Bolszowce,Bolszowiec,Bołszowce,Bołszowiec,bi li xi fu qi,bylsybzy,Μπιλσίβτσι,Бельшовцы,Большовцы,Більшыўцы,Більшівці,בילשיבצי,比利希夫齊;P;PPL;UA;Ukraine;;06;2604;;;1938;222;226;Europe/Kyiv;2023-03-04;Ukraine;49.18176, 24.74028
